resume_seq,recruitment_seq,text_keyword_x,text_keyword_y
U01202,R01103,패션디자인;니트디자인;캐시미어;다이마루;스웨터,
U01211,R01103,디자이너,
U01567,R01103,의상디자인;머천다이저;패션스타일러스트;샵마스터,
U01575,R01103,여성복디자이너,
U01667,R01103,스포츠디자인;캐주얼디자인;의류디자이너;패션디자이너,
U01696,R01103,의상디자인;여성복디자인;상품기획,
U01742,R01103,디자이너상품기획,
U02417,R01103,상품기획;포토샵;일러스트;디스플레이;디자인,
U02949,R01103,디자이너,
U03045,R01103,의류디자이너,
U03409,R01103,의상디자인,
U03497,R01103,디자이너;신입;상품기획;여성복;스포츠;아웃도어;아동복,
U04144,R01103,영업관리;MD;온라인마케팅,
U04387,R01103,아동복디자이너,
U04567,R01103,상품기획;여성복디자이너;웹디자이너;텍스타일디자이너,
U04582,R01103,여성복우븐디자이너,
U04681,R01103,패션디자인;일러스트레이터;그래픽디자인;스타일리스트;우븐디자인;남성복디자인;여성복디자인,
U04715,R01103,영업관리;영업기획;니트디자인;여성복디자인;우븐디자인;패션디자인,
U04764,R01103,패션디자인,
U05503,R01103,디자이너,
U05665,R01103,캐주얼,
U05672,R01103,여성의류디자인;캐쥬얼디자인,
U05673,R01103,여성복디자이너,
U06004,R01103,포토샵;일러스트;그래픽디자인;전시디자인;디자인;텍스타일디자인;패션디자인;섬유디자인,
U06174,R01103,의류디자이너,
U06441,R01103,디자이너;여성복디자이너;남성복디자이너;캐주얼디자이너,
U06458,R01103,여성복디자이너,
U06537,R01103,아동복디자인;여성복디자인;패션디자인,
U06540,R01103,디자이너;신입;경력;여성복,
U06736,R01103,디자인;여성복;남성복;디자이너,
U06966,R01103,여성복디자이너스타일팀피팅,
U07192,R01103,패션디자이너;포토샵;일러스트,
U07292,R01103,여성복디자이너,
U07575,R01103,디자이너,
U07848,R01103,영캐주얼디자이너;여성복디자이너;유아동복디자이너,
U07873,R01103,소재팀,
U08029,R01103,디자이너;여성복;스타일팀;경력;영캐주얼;영밸류;영캐릭터,
U08123,R01103,여성복디자이너소재텍스타일,
U08190,R01103,패션디자인;상품기획,
U08393,R01103,여성복디자인,
U00002,R01730,디자이너,
U00124,R01730,여성복디자이너;브랜드디자이너;우븐디자이너;스타일디자이너,
U00670,R01730,디자인,
U01696,R01730,의상디자인;여성복디자인;상품기획,
U02825,R01730,의상디자인의상디자이너,
U00002,R06019,디자이너,의류;의상;여성복
U03045,R06019,의류디자이너,의류;의상;여성복
U05730,R06019,패션디자이너;의상디자이너,의류;의상;여성복
U06537,R06019,아동복디자인;여성복디자인;패션디자인,의류;의상;여성복
U06736,R06019,디자인;여성복;남성복;디자이너,의류;의상;여성복
U07848,R06019,영캐주얼디자이너;여성복디자이너;유아동복디자이너,의류;의상;여성복
U08029,R06019,디자이너;여성복;스타일팀;경력;영캐주얼;영밸류;영캐릭터,의류;의상;여성복
U00002,R01960,디자이너,피팅;캐주얼웨어;디자이너;캐주얼
U00349,R01960,패션디자인;남성복디자인;여성복디자인,피팅;캐주얼웨어;디자이너;캐주얼
U01575,R01960,여성복디자이너,피팅;캐주얼웨어;디자이너;캐주얼
U01742,R01960,디자이너상품기획,피팅;캐주얼웨어;디자이너;캐주얼
U02335,R01960,디자이너;여성복디자이너,피팅;캐주얼웨어;디자이너;캐주얼
U03417,R01960,디자이너;캐쥬얼;그래픽,피팅;캐주얼웨어;디자이너;캐주얼
U05730,R01960,패션디자이너;의상디자이너,피팅;캐주얼웨어;디자이너;캐주얼
U06736,R01960,디자인;여성복;남성복;디자이너,피팅;캐주얼웨어;디자이너;캐주얼
U07636,R01960,의상디자이너;의상MD,피팅;캐주얼웨어;디자이너;캐주얼
U08015,R01960,디자이너;여성복디자이너;디자이너신입;피팅가능자,피팅;캐주얼웨어;디자이너;캐주얼
U00002,R02946,디자이너,
U02825,R02946,의상디자인의상디자이너,
U04355,R02946,패션디자인,
U04764,R02946,패션디자인,
U08029,R02946,디자이너;여성복;스타일팀;경력;영캐주얼;영밸류;영캐릭터,
U08393,R02946,여성복디자인,
U00002,R02346,디자이너,
U00730,R02346,영업,
U01932,R02346,영업팀,
U02163,R02346,영업관리,
U02383,R02346,매장영업관리;패션MD;여성복MD,
U02774,R02346,영업MD;영업관리,
U03544,R02346,영업MD,
U07180,R02346,패션디자인;MD;무역;해외무역,
U07348,R02346,의류그래픽디자인,
U07848,R02346,영캐주얼디자이너;여성복디자이너;유아동복디자이너,
U00002,R04588,디자이너,
U00606,R04588,스타일디자이너;우븐디자이너,
U02285,R04588,캐쥬얼디자인;여성복디자인;데님디자인,
U04582,R04588,여성복우븐디자이너,
U04681,R04588,패션디자인;일러스트레이터;그래픽디자인;스타일리스트;우븐디자인;남성복디자인;여성복디자인,
U00002,R05472,디자이너,
U00014,R05472,여성복디자이너,
U01269,R05472,생산관리,
U01321,R05472,MD;기획MD;상품기획;유통MD;생산MD;기획;패션MD;홈쇼핑MD;머천다이저;엠디,
U01696,R05472,의상디자인;여성복디자인;상품기획,
U02312,R05472,여성복남성복아웃도어,
U02382,R05472,기획MD;온라인MD;영업MD;스타일리스트;촬영MD;디스플레이,
U02613,R05472,MD;상품기획,
U02820,R05472,기획MD,
U04526,R05472,생산;기획,
U04702,R05472,소싱및기획전문가,
U04718,R05472,머천다이져;생산관리;구매;MD;MR,
U06195,R05472,머천다이저,
U06445,R05472,상품기획;MD,
U07374,R05472,상품기획,
U08171,R05472,의류생산MD,
U00003,R03301,남성복디자이너;TD캐주얼,
U00222,R03301,패션디자인해외거주,
U01990,R03301,우븐;악세사리;용품;골프웨어,
U02905,R03301,의상디자인,
U03306,R03301,패션디자인;디스플레이;코디네이터;여성복디자인;텍스타일디자인,
U06846,R03301,섬유;일어;패션;컬러;소재,
U08209,R03301,남성복디자인;캐주얼디자인,
U08210,R03301,남성복디자인;캐주얼디자인;샘플개발;업체및메인생산핸들링;업체상담,
U00003,R04918,남성복디자이너;TD캐주얼,셔츠디자인;의류디자이너;남성복;우븐;디자인
U01390,R04918,여성복디자인;패션디자인,셔츠디자인;의류디자이너;남성복;우븐;디자인
U01479,R04918,디자이너,셔츠디자인;의류디자이너;남성복;우븐;디자인
U05321,R04918,패션디자인,셔츠디자인;의류디자이너;남성복;우븐;디자인
U06104,R04918,디자이너;남성복;캐주얼;우븐;경력직;다이마루;데님,셔츠디자인;의류디자이너;남성복;우븐;디자인
U07001,R04918,남성복디자이너,셔츠디자인;의류디자이너;남성복;우븐;디자인
U08375,R04918,의류디자이너,셔츠디자인;의류디자이너;남성복;우븐;디자인
U00003,R01460,남성복디자이너;TD캐주얼,
U00916,R01460,남성복디자이너,
U01529,R01460,남성복디자이너,
U01715,R01460,의상디자이너;머천다이저,
U03387,R01460,캐주얼디자인;남성복디자인,
U03829,R01460,남성복디자이너;해외수출입관리,
U06846,R01460,섬유;일어;패션;컬러;소재,
U08209,R01460,남성복디자인;캐주얼디자인,
U00004,R05367,상품기획;영업기획,
U00036,R05367,생산;생산관리;샘플개발;자재관리;상품기획;프로모션;내수;수출,
U00964,R05367,영업및영업관리;기획대리점,
U02015,R05367,영업기획;영업관리,
U02467,R05367,물류관리;운송;금융영업;기술영업;장비영업;거래처관리;고객관리;은행,
U02535,R05367,머천다이저;매장영업관리;영업MD디스플레이;코디네이터,
U04852,R05367,영업기획;매출관리;매장관리,
U05012,R05367,의상디자이너;영업관리;소재디자이너;생산관리,
U05836,R05367,의류;의복;캐주얼;데님;섬유;소재개발,
U06573,R05367,영업관리,
U07027,R05367,MD;상품기획;영업;영업관리,
U07330,R05367,유통영업;매장관리;영업기획,
U07509,R05367,판매영업;의류;스포츠웨어디자인,
U07641,R05367,일반사무직,
U07702,R05367,영업MD;상품기획MD;상품기획;영업;MD,
U00004,R04166,상품기획;영업기획,
U03963,R04166,영업,
U05934,R04166,유통영업,
U06533,R04166,영업MD,
U06790,R04166,영업관리;영업MD,
U06956,R04166,의상디자인;의류디자인;상품기획;컬러리스트;소재디자인,
U07269,R04166,구매관리;원단영업;영업관리,
U07526,R04166,영업관리;영업MD;영업기획;영업;경영기획;조직관리,
U00004,R02355,상품기획;영업기획,
U00008,R02355,머천다이저;MD;영업MD;남성복,
U00099,R02355,상품기획MD;해외학위;디자인;MD;수입바잉;백화점;영업관리;머천다이저,
U00121,R02355,MD상품기획,
U00402,R02355,패션;소재,
U00455,R02355,상품기획;기획엠디;의류패션;머천다이저,
U00500,R02355,MD;머천다이저;상품기획;마케팅;홍보,
U00852,R02355,BUYINGMD;상품기획;디자이너;머천다이저,
U01048,R02355,,
U02136,R02355,기획MD,
U03816,R02355,상품기획;패션마케팅,
U03817,R02355,상품기획MD;영업MD;홍보;마케팅,
U05012,R02355,의상디자이너;영업관리;소재디자이너;생산관리,
U05956,R02355,마케팅;마케팅기획;온라인마케팅;패션마케팅;해외마케팅;무역;무역영어;해외사업;해외마케팅;해외시장개척;해외영업;해외지사;패션디자인;브랜딩;사업기획;바이어관리;바이어발굴;바이어상담;디스플레이;무역사무,
U06041,R02355,기획MD;상품기획;영업기획;디자이너;영업MD;영업;매장영업;상설영업,
U06064,R02355,상품기획;영업;경영관리;마케팅,
U06349,R02355,사업기획;패션마케팅;생산관리;구두;신발;신발디자인;마케팅기획;일반사무;QC;상품기획;오더관리;시장조사,
U07148,R02355,남성복;악세사리;넥타이;남성복디자인,
U08147,R02355,상품기획,
U08300,R02355,MD;영어;통역;의류;경영기획;해외마케팅;해외사업;해외영업,
U08466,R02355,잡화디자인;악세사리디자인;패션디자인;가방디자인,
U00004,R02003,상품기획;영업기획,
U00775,R02003,MD;기획MD;영업MD,
U01054,R02003,매장영업관리,
U03575,R02003,의류생산관리;원부자재구매;부자재수출입업무;데님생산관리,
U04215,R02003,디자인,
U04278,R02003,머천다이저,
U05765,R02003,패션;섬유;MD;영업MD;기획MD;유통MD,
U06847,R02003,백화점;영업;기획;니트;캐시미어;일본어;매장영업관리,
U07085,R02003,패션머천다이져,
U07762,R02003,영업MD;기획MD,
U07810,R02003,디자인,
U00004,R02899,상품기획;영업기획,
U01071,R02899,MD;패션MD;의류;의복;머천다이저,
U04321,R02899,MD;VMD;영업관리,
U06548,R02899,준비된영업사원,
U07290,R02899,영업MD,
U07526,R02899,영업관리;영업MD;영업기획;영업;경영기획;조직관리,
U07874,R02899,마케팅기획;광고기획;광고관리;영업관리;매장관리;영업기획;영업기획;거래선개발;거래처관리;고객관리;광고영업;매장관리;백화점영업,
U00004,R00312,상품기획;영업기획,
U00121,R00312,MD상품기획,
U00183,R00312,디자인;상품기획MD;영업MD,
U01663,R00312,,
U02871,R00312,MDVMDBUYER,
U02924,R00312,패션디자이너;상품기획;MD,
U03201,R00312,VMD,
U03327,R00312,,
U03365,R00312,경영기획;경영분석;경영전략;경영지원;기획전략;기획조사;신규사업기획;전략;전략기획;출판기획;사업기획;마케팅;마케팅기획;브랜딩;사업기획;CRM,
U04671,R00312,,
U05325,R00312,섬유공학과의류패션일본어,
U05705,R00312,경영관리;경영기획;경영지원;기획;전략기획;일반사무;사무행정;마케팅기획;경영지원;총무;무역사무;무역일반;해운,
U05842,R00312,상품기획;머천다이저,
U06045,R00312,MD,
U06592,R00312,상품기획,
U06763,R00312,상품기획;머천다이저,
U07680,R00312,상품기획;소재기획,
U07834,R00312,삽마스터,
U08355,R00312,상품기획,
U08422,R00312,디자이너;VMD;기획MD;MD;상품기획;디스플레이;소재디자이너,
U00004,R00004,상품기획;영업기획,
U00164,R00004,여성복디자이너,
U00296,R00004,매장영업관리,
U00490,R00004,패션디자이너,
U01421,R00004,해외구매;수출입관리;호텔;프론트;객실부;기타직,
U01519,R00004,업무보조;막내;디자이너;경력,
U01687,R00004,MD;기획MD;패션MD,
U02213,R00004,패션스타일링,
U02319,R00004,상품기획;머천다이저;디자이너,
U02646,R00004,디스플레이;VMD,
U03816,R00004,상품기획;패션마케팅,
U05797,R00004,섬유;소재개발;의복;의류;텍스타일디자인;소재디자인;남성복디자인;원단,
U05956,R00004,마케팅;마케팅기획;온라인마케팅;패션마케팅;해외마케팅;무역;무역영어;해외사업;해외마케팅;해외시장개척;해외영업;해외지사;패션디자인;브랜딩;사업기획;바이어관리;바이어발굴;바이어상담;디스플레이;무역사무,
U07259,R00004,여성복디자인;코디네이터;샵마스터;머천다이저;VMD,
U07290,R00004,영업MD,
U00004,R00564,상품기획;영업기획,
U01515,R00564,머천다이저,
U02429,R00564,매장영업관리;머천다이저;패션MD;화장품MD;MD;상품기획,
U02677,R00564,경영;경영관리;경영기획;경영분석;경영전략;경영지원;영업기획;거래처관리;영업지원;대리점관리;매장관리;영업관리,
U02917,R00564,구매;물류관리;자재관리;물류;의류;의복;스포츠웨어;영업관리;기술영업,
U05844,R00564,여성복디자인;잡화디자인;패션디자인;VMD;아동복디자인;디스플레이,
U06101,R00564,영업;매장영업;백화점;면세점;대리점;가두점;로드샵,
U00004,R04891,상품기획;영업기획,
U00008,R04891,머천다이저;MD;영업MD;남성복,
U00368,R04891,의류;피팅;캐주얼;니트;데님;우븐;스포츠웨어,
U01914,R04891,영업관리,
U02059,R04891,머천다이저,
U02343,R04891,마케팅;백화점MD;상품기획;패션MD;홈쇼핑MD;화장품MD,
U02638,R04891,머천다이저;디자이너;MD;기획;상품;의류;신발;샵마스터;영업;생산,
U02971,R04891,상품기획;머천다이저,
U03158,R04891,머천다이저;영업MD;영업관리;MD,
U03719,R04891,영업,
U03975,R04891,거래처관리;대리점관리;매장관리;매출관리;영업관리;영업기획;영업지원,
U05668,R04891,영업기획;영업관리;매출관리;의류;의복;잡화;영업지원;매장관리;영업기획;국내영업;백화점영업;유통영업;매장관리;고객관리,
U05695,R04891,패션;MD;기획;열정;성실,
U07490,R04891,영업관리;머천다이저;상품기획;유통;도소매;백화점;마트;온라인쇼핑몰,
U07736,R04891,매장영업관리;머천다이저;영업기획,
U08302,R04891,중국어;영어,
U08376,R04891,상품기획;영업MD;MD;영업관리,
U00004,R04709,상품기획;영업기획,
U00400,R04709,상품기획;바잉;영업관리;머천다이저,
U00719,R04709,온라인MD,
U00892,R04709,영업기획,
U01239,R04709,,
U01536,R04709,MD;머천다이저;영업,
U01595,R04709,기획MD,
U02008,R04709,상품기획;영업관리;머천다이저;디스플레이,
U02160,R04709,영업MD;기획MD;생산관리;영업관리;물류관리,
U03815,R04709,상품기획;머천다이저;코디네이터,
U04050,R04709,영업관리;영업기획;매장영업관리;수출입통관;면세점,
U04321,R04709,MD;VMD;영업관리,
U04369,R04709,영업;바이어;매장관리;생산;중국;남성복;여성복,
U04881,R04709,패션MD,
U05039,R04709,마케팅기획영업MD,
U05081,R04709,상품기획;컨버터;소재디자이너,
U05234,R04709,일어;의상디자인;패션디자이너;남성복;여성복,
U05361,R04709,VMD;MD;디스플레이;머천다이저,
U05386,R04709,CRMMD;CS,
U06790,R04709,영업관리;영업MD,
U07341,R04709,상품기획MD,
U07812,R04709,상품기획;디스플레이;코디네이터;머천다이저;마케팅;MD,
U07960,R04709,기획;MD;패션,
U00004,R01747,상품기획;영업기획,
U00235,R01747,기획;MD;머천다이저;영업,
U00449,R01747,여성복디자이너;캐주얼;이너웨어,
U01048,R01747,,
U01491,R01747,백화점;대리점;매장영업관리,
U02059,R01747,머천다이저,
U02067,R01747,MD;상품기획;엠디;머천다이저;신입,
U02097,R01747,머천다이저;상품기획;영업MD;남성복;여성복;기획MD,
U02919,R01747,상품기획;디스플레이;머천다이저;매장영업관리,
U02970,R01747,상품기획;바잉MD;MD,
U06050,R01747,MD;머천다이저;남성복,
U06130,R01747,의상디자이너,
U06183,R01747,상품기획;디스플레이;코디네이터;머천다이저;영업기획,
U07960,R01747,기획;MD;패션,
U00004,R01825,상품기획;영업기획,
U00220,R01825,경리및경영기획경력자;일본어가능,
U00325,R01825,수출;MD;무역;의류,
U01170,R01825,영업;품질관리;엔지니어,
U01232,R01825,섬유;원단;사무;일반사무;무역중개인;무역사무;MD;구매,
U03226,R01825,영업;영업관리;마케팅;경영기획,
U04394,R01825,패션디자이너;데님디자이너;가죽디자이너;디스플레이,
U04895,R01825,매장영업관리,
U05986,R01825,디자인;마케팅;샵마스터,
U06249,R01825,영업MD;영업관리,
U06638,R01825,MD,
U06663,R01825,마케팅;마케팅기획;판매관리;판매영업;매장관리;지배인;고객관리;광고영업;거래처관리;거래처관리;대리점관리;매장관리;영업관리;영업기획;영업지원;이벤트;프로모션;홍보대행;전시기획,
U00004,R06658,상품기획;영업기획,
U02097,R06658,머천다이저;상품기획;영업MD;남성복;여성복;기획MD,
U02160,R06658,영업MD;기획MD;생산관리;영업관리;물류관리,
U03386,R06658,소비자상담의류영업영업관리;MD;홍보,
U03680,R06658,기획MD;그래픽디자인;일러스트;포토샵,
U03815,R06658,상품기획;머천다이저;코디네이터,
U04827,R06658,바이어;해외사업;디스플레이;섬유디자인;악세사리디자인;잡화디자인;쥬얼리디자인;텍스타일디자인;패션디자인;외자구매;무역실무;무역;해외구매;수입;해외마케팅,
U00004,R01511,상품기획;영업기획,
U02008,R01511,상품기획;영업관리;머천다이저;디스플레이,
U04403,R01511,디스플레이,
U04431,R01511,상품기획;머천다이저;생산관리,
U06548,R01511,준비된영업사원,
U07286,R01511,영업MD;PLANNING;머천다이저;영업관리,
U07290,R01511,영업MD,
U07490,R01511,영업관리;머천다이저;상품기획;유통;도소매;백화점;마트;온라인쇼핑몰,
U07526,R01511,영업관리;영업MD;영업기획;영업;경영기획;조직관리,
U08142,R01511,영업기획;영업지원;영업관리,
U00004,R03925,상품기획;영업기획,
U00568,R03925,상품기획;MD;컬러리스트,
U00745,R03925,MD;상품기획;유통,
U00852,R03925,BUYINGMD;상품기획;디자이너;머천다이저,
U01058,R03925,,
U01068,R03925,마케팅;소재디자이너;VMD;디자이너,
U01134,R03925,경영기획;경영전략;기업분석;사업기획;워드;문서작성;사무;해외사업;해외영업;컨텐츠관리;사이트운영;베타테스트기획;전산직;문서작성;엑셀;워드;홈페이지관리;파워포인트;전산;전산,
U01314,R03925,디자인,
U01897,R03925,우븐디자이너상품획MD,
U02059,R03925,머천다이저,
U02253,R03925,생산관리,
U02867,R03925,아동복디자인;유아복디자인;디스플레이;패션디자인;VMD;우븐디자인;섬유디자인,
U03122,R03925,캐주얼;소재디자인,
U03445,R03925,우븐디자이너;여성복디자이너;경력,
U03457,R03925,마케팅;마케팅기획;브랜딩;패션마케팅;VMD;패션디자인;실내디자인;인테리어;광고기획;디자인;색채,
U03578,R03925,아웃도어디자인;스포츠웨어디자인,
U03688,R03925,상품기획MD;머천다이저;디스플레이;디자이너;VMD,
U03699,R03925,생산;생산관리;생산직;품질관리;의류;캐쥬얼;우븐;환편니트;검사;공장관리,
U03776,R03925,패션;일본어;무역;기획;컴퓨터;머천다이저;MD,
U03800,R03925,니트디자이너,
U03817,R03925,상품기획MD;영업MD;홍보;마케팅,
U03929,R03925,상품기획;기획MD;바잉MD;머천다이저,
U03997,R03925,일반영업관리;경영관리;상품기획MD,
U04416,R03925,컬러;소재;디자인;기획;마케팅,
U04939,R03925,의상디자이너,
U05089,R03925,디자인,
U05495,R03925,상품기획니트디자인,
U05842,R03925,상품기획;머천다이저,
U05880,R03925,아동복의상디자인;의상팀장,
U06013,R03925,무역사무;무역;MD;MR;일본무역;사무보조;업무보조;섬유;원단;포토샵;일러스트;그래픽디자인,
U06041,R03925,기획MD;상품기획;영업기획;디자이너;영업MD;영업;매장영업;상설영업,
U06250,R03925,백화점영업;해외무역;해외영업;바잉MD,
U06831,R03925,의상디자이너우븐다이마루,
U06969,R03925,무역영어;무역실무;무역사무;무역;영업관리;영업기획;국내영업;백화점영업,
U07239,R03925,우븐디자이너,
U07834,R03925,삽마스터,
U07932,R03925,패션디자이너,
U08077,R03925,머천다이저,
U00004,R01068,상품기획;영업기획,
U00709,R01068,유통;영업관리;영업기획;영업지원;국내영업;백화점영업;식품영업;거래처관리;광고영업;일반영업;유통영업;대리점관리;거래처관리;매장관리;매출관리;광고영업,
U01465,R01068,매장영업;매장영업관리,
U02343,R01068,마케팅;백화점MD;상품기획;패션MD;홈쇼핑MD;화장품MD,
U03963,R01068,영업,
U07753,R01068,영업관리,
U00004,R05341,상품기획;영업기획,
U02008,R05341,상품기획;영업관리;머천다이저;디스플레이,
U02302,R05341,상품기획,
U03973,R05341,바이어;매장관리;디스플레이;상품기획,
U05081,R05341,상품기획;컨버터;소재디자이너,
U05361,R05341,VMD;MD;디스플레이;머천다이저,
U05520,R05341,기획MD;상품기획;기획실;머천다이저;해외영업,
U06407,R05341,디스플레이;스타일리스트;디자이너;머천다이저;판매;코디네이터,
U06772,R05341,영업MD;생산관리;물류관리;기획MD,
U07506,R05341,텍스타일디자인,
U00005,R00832,인사;총무;경영;MD;상품기획,영업MD
U00709,R00832,유통;영업관리;영업기획;영업지원;국내영업;백화점영업;식품영업;거래처관리;광고영업;일반영업;유통영업;대리점관리;거래처관리;매장관리;매출관리;광고영업,영업MD
U00925,R00832,스타일리스트;메이크업아티스트,영업MD
U02255,R00832,마케팅;영업기획;MD;VMD;소재기획,영업MD
U02535,R00832,머천다이저;매장영업관리;영업MD디스플레이;코디네이터,영업MD
U03449,R00832,해외영업,영업MD
U04434,R00832,기획MD,영업MD
U04695,R00832,패션디자인;MD,영업MD
U05043,R00832,기획및관리,영업MD
U05181,R00832,상품기획;영업MD;바잉MD,영업MD
U06081,R00832,섬유;남성복;아동복;소재개발;스포츠웨어;신발;악세사리;우븐;원단;의류;의복;캐주얼,영업MD
U06206,R00832,영업관리,영업MD
U06362,R00832,웹디자인;홍보;마케팅,영업MD
U06740,R00832,디자이너,영업MD
U07478,R00832,MD;영업지원,영업MD
U07785,R00832,MD,영업MD
U00005,R03914,인사;총무;경영;MD;상품기획,
U00156,R03914,바이어;머천다이저;상품기획;마케팅;수입;명품;해외유학,
U00530,R03914,영업관리,
U00575,R03914,,
U01579,R03914,영업관리;관리,
U01963,R03914,상품기획;매장영업관리,
U03092,R03914,디스플레이;VMD;상품기획,
U03515,R03914,매장영업대리점및백화점;영업관리,
U03653,R03914,물류관리;물류;물류기획;상품입출고;품질관리;생산관리,
U03719,R03914,영업,
U04523,R03914,무역;해외영업,
U04695,R03914,패션디자인;MD,
U06081,R03914,섬유;남성복;아동복;소재개발;스포츠웨어;신발;악세사리;우븐;원단;의류;의복;캐주얼,
U06946,R03914,MD,
U07549,R03914,디자이너;MD;VMD,
U00005,R00374,인사;총무;경영;MD;상품기획,
U01324,R00374,MD;영업관리;생산관리;기획;물류;수입,
U02118,R00374,머쳔다이져;마케팅;홍보;VMD,
U02617,R00374,상품기획,
U03455,R00374,기획MD,
U03508,R00374,의류;패션MD;상품기획;기획,
U03775,R00374,상품기회MD;해외영업;MR;여성복;우븐캐주얼프로모션3년차경력,
U03838,R00374,광고;홍보;마케팅,
U04212,R00374,상품기획MD;기획MD;영업MD;영업기획;경영기획,
U04268,R00374,상품기획;기획MD;머천다이저,
U04502,R00374,디자인;MD,
U04695,R00374,패션디자인;MD,
U04724,R00374,상품기획;MD;마케팅;홍보,
U05307,R00374,상품기획MD,
U06129,R00374,기획MD,
U06362,R00374,웹디자인;홍보;마케팅,
U06395,R00374,,
U06740,R00374,디자이너,
U07785,R00374,MD,
U00006,R05982,매장영업관리,
U00296,R05982,매장영업관리,
U01597,R05982,매장영업과리,
U03486,R05982,영업;MD;매장영업,
U07147,R05982,영업;경영지원,
U00006,R00925,매장영업관리,
U00356,R00925,대리점관리;거래처관리;영업관리;매장관리;매출관리;거래처관리,
U00623,R00925,영업MD;매장영업관리,
U03705,R00925,가두점신규오픈및매장관리,
U04657,R00925,영업전략,
U05675,R00925,영업관리및영업MD,
U05715,R00925,영업관련,
U07042,R00925,영업;영업관리;백화점;대리점;매장관리,
U07123,R00925,매장영업관리;해외영업일본,
U07844,R00925,영업;영업관리,
U08233,R00925,,
U00006,R05111,매장영업관리,
U02042,R05111,매장영업관리대리점;할인점;백화점,
U02612,R05111,대리점상담및매장영업관리,
U03904,R05111,매장영업관리;MD;원단영업,
U04374,R05111,매장영업관리,
U05415,R05111,매장영업관리,
U00006,R06190,매장영업관리,
U00579,R06190,브랜드영업팀장;영업이사,
U01063,R06190,영업MD;매장영업관리,
U01074,R06190,MD;상품기획;영업MD;해외영업,
U02293,R06190,매장영업관리,
U03803,R06190,매장영업관리;대리점영업;백화점영업;의류영업,
U03904,R06190,매장영업관리;MD;원단영업,
U05733,R06190,매장영업;매장개설;시장조사,
U06062,R06190,영업;영업관리;영업경력;가두점영업;백화점영업;로드숍;할인점;패션;유아동,
U06206,R06190,영업관리,
U07201,R06190,매장영업관리,
U07319,R06190,영업,
U07365,R06190,영업총괄;영업;영업MD,
U07946,R06190,대리점관리;매출관리;영업관리;영업지원;매장관리;백화점영업;국내영업,
U00006,R05748,매장영업관리,
U02021,R05748,매장영업관리,
U04374,R05748,매장영업관리,
U05415,R05748,매장영업관리,
U05614,R05748,영업,
U05979,R05748,매장영업관리,
U06729,R05748,매장영업관리,
U00006,R04458,매장영업관리,
U00203,R04458,백화점영업;아울렛영업;대리점영업;매장관리;바이어관리;대리점주관리;프로모션기획,
U00296,R04458,매장영업관리,
U00713,R04458,영업;영업관리,
U00734,R04458,유통;브랜딩;스포츠마케팅;스포츠웨어;거래처관리;대리점관리;매장관리;매출관리;가방;신발;잡화;백화점영업,
U00785,R04458,영업관리;영업MD;영업;마케팅;기획;MD,
